,2d_x,2d_y,periodic_#_2d,bond_1_2d,bond_2_2d,bond_3_2d,3d_x,3d_y,3d_z
10,3.2422,-0.273,6,2,1,0,1.946,2.3691,-0.3336
11,2.3546,0.7167,6,1,1,0,2.0018,-0.0347,-0.1774
12,1.0547,0.4437,6,2,1,0,-2.7489,-2.2279,0.1779
13,0.167,1.4333,8,1,0,0,3.3447,2.4198,-0.1827
14,4.542,0.0,8,1,0,0,3.3977,0.0,0.0
15,-1.0746,-2.359,8,0,1,0,4.0699,1.2321,0.0
0,3.3927,-0.0,8,1,0,0,2.7158,0.0,0.0
1,2.0664,0.115,6,2,1,0,-0.3438,3.4322,-0.0
2,1.501,1.3189,6,1,1,0,0.4477,-0.581,0.0
3,0.1772,1.4286,6,2,1,0,-0.9007,-0.1112,0.0
4,-0.3882,2.6325,8,1,0,0,1.5087,0.3604,-0.0
5,-0.5837,0.3398,6,2,1,0,-1.158,1.2761,-0.0
6,-1.9075,0.4495,6,1,1,0,0.6777,-1.9775,0.0
7,-2.6684,-0.6394,6,1,1,0,-1.9702,-1.0359,0.0
8,-2.1029,-1.8433,6,1,1,0,-0.0981,2.2012,-0.0
9,-0.7766,-1.9583,6,1,1,0,1.2312,1.7419,-0.0
10,-0.0182,-0.8642,6,2,1,0,-0.3934,-2.8886,0.0
11,1.3081,-0.9791,6,1,1,0,-1.7167,-2.4175,0.0
0,3.7078,0.0,6,1,0,0,3.0354,0.0,0.0
1,2.3829,-0.1027,8,2,0,0,1.7988,1.552,0.7866
2,1.6238,0.9949,6,2,1,0,-0.5583,-1.9898,-0.6846
3,2.2034,2.1927,8,0,1,0,-0.5744,0.0969,0.0819
4,0.2991,0.8921,6,2,1,0,-1.3651,-0.9737,-0.3537
5,-0.5648,1.8994,6,1,1,0,0.7677,-0.2975,-0.0035
6,-1.7895,1.3921,7,2,0,0,0.7146,-1.6129,-0.4831
7,-1.6869,0.0674,6,2,1,0,-1.1917,1.3007,0.4841
8,-2.6039,-0.9014,6,1,1,0,-2.768,-0.8814,-0.4025
9,-2.2261,-2.1776,6,1,1,0,-2.5951,1.4088,0.4414
10,-0.9313,-2.485,6,1,1,0,-3.3787,0.3234,-0.0
11,-0.0184,-1.5241,6,1,1,0,1.9058,0.4421,0.2797
12,-0.3962,-0.2478,6,2,1,0,4.2092,0.6312,-0.1462
0,1.7011,-1.9437,8,1,0,0,-2.2118,2.6367,-0.5404
1,1.7566,-0.6173,6,2,1,0,2.2809,-1.7446,0.9691
2,2.9345,0.0,8,0,1,0,2.7396,0.0,0.0
3,0.6319,0.0964,6,2,1,0,0.6646,1.8759,0.1982
4,0.6875,1.4227,6,1,1,0,0.504,-0.5186,0.1284
5,-0.4373,2.1365,6,1,1,0,-0.0539,0.7882,-0.0
6,-1.6151,1.5192,6,1,1,0,-0.3695,-1.6252,-0.0261
7,-1.6682,0.1881,6,2,1,0,-1.4215,0.9603,-0.3188
8,-0.546,-0.5209,6,2,1,0,-1.7337,-1.4542,-0.3162
9,-0.599,-1.8519,7,1,0,0,-2.2555,-0.1612,-0.4704
10,-2.846,-0.4292,5,1,0,0,1.8567,-0.7574,0.3761
0,2.6806,0.0,6,1,0,0,1.3048,0.0,0.0
1,1.7651,0.396,6,2,1,0,-1.5889,-1.4595,-2.3043
2,1.6487,1.3906,8,0,1,0,0.2777,-1.909,-1.6082
3,0.9633,-0.199,8,2,0,0,3.3554,0.1342,-0.3188
4,0.0451,0.2006,6,2,1,0,0.1113,0.0923,0.4526
5,-0.0687,1.1916,6,1,1,0,-0.9598,-0.4882,-0.2887
6,-0.9868,1.5912,6,1,1,0,-0.1633,0.7762,1.6623
7,-1.7924,0.9934,6,1,1,0,-2.2851,-0.2264,0.1489
8,-1.676,-0.0011,6,1,1,0,-1.482,1.0018,2.0847
9,-0.7604,-0.3972,6,2,1,0,-2.5474,0.5216,1.31
10,-0.644,-1.3917,6,2,1,0,-0.757,-1.2879,-1.4178
11,-1.4459,-1.9867,8,1,0,0,2.3266,0.7116,0.0
12,0.2715,-1.7877,8,0,1,0,2.4078,2.1331,0.2793
